param_name,run_name,data_name,mv_acc,womv_acc,hyper_param
"base_param,data_option-mvtec_carpet_data,ClipModel.classifier-EchoClassfier,ClipModel.backbone_name-ViT-L/14,ClipModel.clip_name-AlphaClip,debug.k_shot-1,data.input_shape-224,data.mv_method-mso,debug.acti_beta-32,exp_name-best_exp_notrain,run_name-MVRec-mso-EchoClassfier-ks1-acti32",MVRec-mso-EchoClassfier-ks1-acti32,mvtec_carpet_data,"{'mean': 0.7318, 'std': 0.0526, 'num': 5, 'values': [0.7045, 0.8182, 0.6591, 0.75, 0.7273]}","{'mean': 0.6591, 'std': 0.0704, 'num': 5, 'values': [0.5909, 0.7955, 0.6364, 0.6364, 0.6364]}","{'k_patch': 2, 'sdpa_scale': 300, 'ft_epo': 500, 'train_sk': False, 'acti_beta': 32, 'fvns': 1, 'fvnq': 1, 'trip_loss_weight': 4, 'trip_loss_margin': 0.5, 'mulit_view': 1, 'k_shot': 1, 'num_sampling': 5, 'infer_style': 'assemble_uncertainty', 'zip_config_index': 6, 'text_logits_wight': 0, 'uncertainty_alpha': 2}"
"base_param,data_option-mvtec_grid_data,ClipModel.classifier-EchoClassfier,ClipModel.backbone_name-ViT-L/14,ClipModel.clip_name-AlphaClip,debug.k_shot-1,data.input_shape-224,data.mv_method-mso,debug.acti_beta-32,exp_name-best_exp_notrain,run_name-MVRec-mso-EchoClassfier-ks1-acti32",MVRec-mso-EchoClassfier-ks1-acti32,mvtec_grid_data,"{'mean': 0.5143, 'std': 0.115, 'num': 5, 'values': [0.4898, 0.449, 0.6531, 0.3469, 0.6327]}","{'mean': 0.4571, 'std': 0.1029, 'num': 5, 'values': [0.4286, 0.4082, 0.551, 0.3061, 0.5918]}","{'k_patch': 2, 'sdpa_scale': 300, 'ft_epo': 500, 'train_sk': False, 'acti_beta': 32, 'fvns': 1, 'fvnq': 1, 'trip_loss_weight': 4, 'trip_loss_margin': 0.5, 'mulit_view': 1, 'k_shot': 1, 'num_sampling': 5, 'infer_style': 'assemble_uncertainty', 'zip_config_index': 6, 'text_logits_wight': 0, 'uncertainty_alpha': 2}"
"base_param,data_option-mvtec_leather_data,ClipModel.classifier-EchoClassfier,ClipModel.backbone_name-ViT-L/14,ClipModel.clip_name-AlphaClip,debug.k_shot-1,data.input_shape-224,data.mv_method-mso,debug.acti_beta-32,exp_name-best_exp_notrain,run_name-MVRec-mso-EchoClassfier-ks1-acti32",MVRec-mso-EchoClassfier-ks1-acti32,mvtec_leather,"{'mean': 0.8136, 'std': 0.0617, 'num': 5, 'values': [0.8864, 0.8409, 0.8409, 0.7955, 0.7045]}","{'mean': 0.6637, 'std': 0.0546, 'num': 5, 'values': [0.7273, 0.7273, 0.6364, 0.5909, 0.6364]}","{'k_patch': 2, 'sdpa_scale': 300, 'ft_epo': 500, 'train_sk': False, 'acti_beta': 32, 'fvns': 1, 'fvnq': 1, 'trip_loss_weight': 4, 'trip_loss_margin': 0.5, 'mulit_view': 1, 'k_shot': 1, 'num_sampling': 5, 'infer_style': 'assemble_uncertainty', 'zip_config_index': 6, 'text_logits_wight': 0, 'uncertainty_alpha': 2}"
"base_param,data_option-mvtec_tile_data,ClipModel.classifier-EchoClassfier,ClipModel.backbone_name-ViT-L/14,ClipModel.clip_name-AlphaClip,debug.k_shot-1,data.input_shape-224,data.mv_method-mso,debug.acti_beta-32,exp_name-best_exp_notrain,run_name-MVRec-mso-EchoClassfier-ks1-acti32",MVRec-mso-EchoClassfier-ks1-acti32,mvtec_tile_data,"{'mean': 0.9476, 'std': 0.0278, 'num': 5, 'values': [0.9048, 0.9286, 0.9524, 0.9762, 0.9762]}","{'mean': 0.8571, 'std': 0.0261, 'num': 5, 'values': [0.8571, 0.8333, 0.9048, 0.8571, 0.8333]}","{'k_patch': 2, 'sdpa_scale': 300, 'ft_epo': 500, 'train_sk': False, 'acti_beta': 32, 'fvns': 1, 'fvnq': 1, 'trip_loss_weight': 4, 'trip_loss_margin': 0.5, 'mulit_view': 1, 'k_shot': 1, 'num_sampling': 5, 'infer_style': 'assemble_uncertainty', 'zip_config_index': 6, 'text_logits_wight': 0, 'uncertainty_alpha': 2}"
"base_param,data_option-mvtec_wood_data,ClipModel.classifier-EchoClassfier,ClipModel.backbone_name-ViT-L/14,ClipModel.clip_name-AlphaClip,debug.k_shot-1,data.input_shape-224,data.mv_method-mso,debug.acti_beta-32,exp_name-best_exp_notrain,run_name-MVRec-mso-EchoClassfier-ks1-acti32",MVRec-mso-EchoClassfier-ks1-acti32,mvtec_wood_data,"{'mean': 0.6914, 'std': 0.1079, 'num': 5, 'values': [0.5143, 0.7429, 0.7, 0.6571, 0.8429]}","{'mean': 0.6743, 'std': 0.1224, 'num': 5, 'values': [0.4714, 0.6714, 0.6857, 0.6857, 0.8571]}","{'k_patch': 2, 'sdpa_scale': 300, 'ft_epo': 500, 'train_sk': False, 'acti_beta': 32, 'fvns': 1, 'fvnq': 1, 'trip_loss_weight': 4, 'trip_loss_margin': 0.5, 'mulit_view': 1, 'k_shot': 1, 'num_sampling': 5, 'infer_style': 'assemble_uncertainty', 'zip_config_index': 6, 'text_logits_wight': 0, 'uncertainty_alpha': 2}"
"base_param,data_option-mvtec_bottle_data,ClipModel.classifier-EchoClassfier,ClipModel.backbone_name-ViT-L/14,ClipModel.clip_name-AlphaClip,debug.k_shot-1,data.input_shape-224,data.mv_method-mso,debug.acti_beta-32,exp_name-best_exp_notrain,run_name-MVRec-mso-EchoClassfier-ks1-acti32",MVRec-mso-EchoClassfier-ks1-acti32,mvtec_bottle_data,"{'mean': 0.5875, 'std': 0.0606, 'num': 5, 'values': [0.5938, 0.6875, 0.5938, 0.5625, 0.5]}","{'mean': 0.5188, 'std': 0.0644, 'num': 5, 'values': [0.4688, 0.5938, 0.5, 0.5938, 0.4375]}","{'k_patch': 2, 'sdpa_scale': 300, 'ft_epo': 500, 'train_sk': False, 'acti_beta': 32, 'fvns': 1, 'fvnq': 1, 'trip_loss_weight': 4, 'trip_loss_margin': 0.5, 'mulit_view': 1, 'k_shot': 1, 'num_sampling': 5, 'infer_style': 'assemble_uncertainty', 'zip_config_index': 6, 'text_logits_wight': 0, 'uncertainty_alpha': 2}"
"base_param,data_option-mvtec_cable_data,ClipModel.classifier-EchoClassfier,ClipModel.backbone_name-ViT-L/14,ClipModel.clip_name-AlphaClip,debug.k_shot-1,data.input_shape-224,data.mv_method-mso,debug.acti_beta-32,exp_name-best_exp_notrain,run_name-MVRec-mso-EchoClassfier-ks1-acti32",MVRec-mso-EchoClassfier-ks1-acti32,mvtec_cable_data,"{'mean': 0.7965, 'std': 0.0306, 'num': 5, 'values': [0.807, 0.807, 0.807, 0.8246, 0.7368]}","{'mean': 0.5965, 'std': 0.0587, 'num': 5, 'values': [0.7018, 0.5439, 0.5439, 0.5789, 0.614]}","{'k_patch': 2, 'sdpa_scale': 300, 'ft_epo': 500, 'train_sk': False, 'acti_beta': 32, 'fvns': 1, 'fvnq': 1, 'trip_loss_weight': 4, 'trip_loss_margin': 0.5, 'mulit_view': 1, 'k_shot': 1, 'num_sampling': 5, 'infer_style': 'assemble_uncertainty', 'zip_config_index': 6, 'text_logits_wight': 0, 'uncertainty_alpha': 2}"
"base_param,data_option-mvtec_capsule_data,ClipModel.classifier-EchoClassfier,ClipModel.backbone_name-ViT-L/14,ClipModel.clip_name-AlphaClip,debug.k_shot-1,data.input_shape-224,data.mv_method-mso,debug.acti_beta-32,exp_name-best_exp_notrain,run_name-MVRec-mso-EchoClassfier-ks1-acti32",MVRec-mso-EchoClassfier-ks1-acti32,mvtec_capsule_data,"{'mean': 0.5698, 'std': 0.0636, 'num': 5, 'values': [0.5849, 0.5283, 0.6792, 0.566, 0.4906]}","{'mean': 0.4566, 'std': 0.0601, 'num': 5, 'values': [0.4151, 0.3962, 0.4717, 0.566, 0.434]}","{'k_patch': 2, 'sdpa_scale': 300, 'ft_epo': 500, 'train_sk': False, 'acti_beta': 32, 'fvns': 1, 'fvnq': 1, 'trip_loss_weight': 4, 'trip_loss_margin': 0.5, 'mulit_view': 1, 'k_shot': 1, 'num_sampling': 5, 'infer_style': 'assemble_uncertainty', 'zip_config_index': 6, 'text_logits_wight': 0, 'uncertainty_alpha': 2}"
"base_param,data_option-mvtec_hazelnut_data,ClipModel.classifier-EchoClassfier,ClipModel.backbone_name-ViT-L/14,ClipModel.clip_name-AlphaClip,debug.k_shot-1,data.input_shape-224,data.mv_method-mso,debug.acti_beta-32,exp_name-best_exp_notrain,run_name-MVRec-mso-EchoClassfier-ks1-acti32",MVRec-mso-EchoClassfier-ks1-acti32,mvtec_hazelnut_data,"{'mean': 0.76, 'std': 0.1179, 'num': 5, 'values': [0.8857, 0.8286, 0.5429, 0.7429, 0.8]}","{'mean': 0.6572, 'std': 0.0808, 'num': 5, 'values': [0.6857, 0.7143, 0.5143, 0.7429, 0.6286]}","{'k_patch': 2, 'sdpa_scale': 300, 'ft_epo': 500, 'train_sk': False, 'acti_beta': 32, 'fvns': 1, 'fvnq': 1, 'trip_loss_weight': 4, 'trip_loss_margin': 0.5, 'mulit_view': 1, 'k_shot': 1, 'num_sampling': 5, 'infer_style': 'assemble_uncertainty', 'zip_config_index': 6, 'text_logits_wight': 0, 'uncertainty_alpha': 2}"
"base_param,data_option-mvtec_metal_nut_data,ClipModel.classifier-EchoClassfier,ClipModel.backbone_name-ViT-L/14,ClipModel.clip_name-AlphaClip,debug.k_shot-1,data.input_shape-224,data.mv_method-mso,debug.acti_beta-32,exp_name-best_exp_notrain,run_name-MVRec-mso-EchoClassfier-ks1-acti32",MVRec-mso-EchoClassfier-ks1-acti32,mvtec_metal_nut_data,"{'mean': 0.704, 'std': 0.1098, 'num': 5, 'values': [0.86, 0.58, 0.6, 0.8, 0.68]}","{'mean': 0.616, 'std': 0.0496, 'num': 5, 'values': [0.7, 0.58, 0.6, 0.64, 0.56]}","{'k_patch': 2, 'sdpa_scale': 300, 'ft_epo': 500, 'train_sk': False, 'acti_beta': 32, 'fvns': 1, 'fvnq': 1, 'trip_loss_weight': 4, 'trip_loss_margin': 0.5, 'mulit_view': 1, 'k_shot': 1, 'num_sampling': 5, 'infer_style': 'assemble_uncertainty', 'zip_config_index': 6, 'text_logits_wight': 0, 'uncertainty_alpha': 2}"
